time,open,high,low,close,tick_volume,spread,real_volume
2026-05-27 19:45:00,1.34305,1.34305,1.34293,1.34296,141,7,0
2026-05-27 19:50:00,1.34296,1.343,1.34287,1.34295,116,7,0
2026-05-27 19:55:00,1.34295,1.34311,1.34291,1.34303,140,7,0
2026-05-27 20:00:00,1.34304,1.3432,1.34293,1.34318,138,7,0
2026-05-27 20:05:00,1.34315,1.34328,1.34314,1.3431600000000001,58,7,0
2026-05-27 20:10:00,1.3431600000000001,1.34323,1.34304,1.34313,83,7,0
2026-05-27 20:15:00,1.34313,1.3431600000000001,1.34303,1.34306,66,7,0
2026-05-27 20:20:00,1.34307,1.34308,1.34293,1.34304,47,7,0
2026-05-27 20:25:00,1.34304,1.34307,1.34293,1.34296,25,7,0
2026-05-27 20:30:00,1.34298,1.34313,1.34298,1.3431,61,7,0
2026-05-27 20:35:00,1.3431,1.3431,1.34296,1.34303,57,7,0
2026-05-27 20:40:00,1.34303,1.34303,1.34293,1.343,53,7,0
2026-05-27 20:45:00,1.34299,1.34303,1.34292,1.34297,65,7,0
2026-05-27 20:50:00,1.34297,1.34297,1.3428499999999999,1.34288,59,7,0
2026-05-27 20:55:00,1.34288,1.3429,1.34259,1.34269,130,6,0
2026-05-27 21:00:00,1.34268,1.34269,1.34265,1.34267,8,18,0
2026-05-27 21:05:00,1.34265,1.34268,1.34239,1.3424,45,18,0
2026-05-27 21:10:00,1.34239,1.34243,1.34237,1.34241,32,37,0
2026-05-27 21:15:00,1.34243,1.34249,1.34241,1.34246,31,39,0
2026-05-27 21:20:00,1.34244,1.34252,1.34238,1.34241,56,42,0
2026-05-27 21:25:00,1.34239,1.34242,1.3423,1.34235,41,43,0
2026-05-27 21:30:00,1.34236,1.3424800000000001,1.34235,1.34238,83,39,0
2026-05-27 21:35:00,1.34236,1.34253,1.34233,1.3425,56,34,0
2026-05-27 21:40:00,1.3425,1.34254,1.3424800000000001,1.34253,21,28,0
2026-05-27 21:45:00,1.34252,1.34253,1.34241,1.34245,69,28,0
2026-05-27 21:50:00,1.34246,1.34253,1.34244,1.34253,70,39,0
2026-05-27 21:55:00,1.34253,1.34261,1.3425099999999999,1.34259,23,31,0
2026-05-27 22:00:00,1.34264,1.34281,1.3425799999999999,1.34266,94,7,0
2026-05-27 22:05:00,1.34266,1.34289,1.34262,1.34287,56,7,0
2026-05-27 22:10:00,1.34287,1.34307,1.3428499999999999,1.34295,54,7,0
2026-05-27 22:15:00,1.34295,1.34304,1.34283,1.3428499999999999,59,7,0
2026-05-27 22:20:00,1.3428499999999999,1.34296,1.34284,1.34294,50,7,0
