time,open,high,low,close,tick_volume,spread,real_volume
2026-05-27 17:35:00,159.557,159.557,159.536,159.549,91,7,0
2026-05-27 17:40:00,159.549,159.554,159.526,159.526,90,7,0
2026-05-27 17:45:00,159.526,159.531,159.515,159.527,54,7,0
2026-05-27 17:50:00,159.527,159.527,159.513,159.516,64,7,0
2026-05-27 17:55:00,159.515,159.525,159.513,159.521,83,7,0
2026-05-27 18:00:00,159.523,159.544,159.516,159.543,79,7,0
2026-05-27 18:05:00,159.543,159.543,159.534,159.539,69,7,0
2026-05-27 18:10:00,159.539,159.544,159.529,159.542,63,7,0
2026-05-27 18:15:00,159.542,159.554,159.54,159.542,77,7,0
2026-05-27 18:20:00,159.542,159.544,159.53,159.541,59,7,0
2026-05-27 18:25:00,159.541,159.541,159.519,159.529,70,7,0
2026-05-27 18:30:00,159.529,159.542,159.517,159.541,97,7,0
2026-05-27 18:35:00,159.541,159.545,159.53,159.531,91,7,0
2026-05-27 18:40:00,159.531,159.536,159.518,159.52,50,7,0
2026-05-27 18:45:00,159.52,159.532,159.517,159.517,84,7,0
2026-05-27 18:50:00,159.518,159.527,159.508,159.519,65,7,0
2026-05-27 18:55:00,159.52,159.52,159.492,159.503,93,7,0
2026-05-27 19:00:00,159.504,159.515,159.497,159.501,95,7,0
2026-05-27 19:05:00,159.502,159.505,159.499,159.505,34,7,0
2026-05-27 19:10:00,159.505,159.529,159.504,159.52,64,7,0
2026-05-27 19:15:00,159.52,159.528,159.514,159.526,65,7,0
2026-05-27 19:20:00,159.526,159.526,159.515,159.517,53,7,0
2026-05-27 19:25:00,159.517,159.526,159.517,159.518,74,7,0
2026-05-27 19:30:00,159.518,159.528,159.508,159.512,75,7,0
2026-05-27 19:35:00,159.513,159.521,159.505,159.515,73,7,0
2026-05-27 19:40:00,159.515,159.53,159.515,159.525,60,7,0
2026-05-27 19:45:00,159.525,159.532,159.525,159.531,52,7,0
2026-05-27 19:50:00,159.532,159.55,159.53,159.542,68,7,0
2026-05-27 19:55:00,159.541,159.542,159.531,159.534,96,7,0
2026-05-27 20:00:00,159.533,159.538,159.515,159.519,64,7,0
2026-05-27 20:05:00,159.521,159.529,159.51,159.512,61,7,0
2026-05-27 20:10:00,159.512,159.52,159.497,159.509,60,7,0
2026-05-27 20:15:00,159.509,159.531,159.509,159.531,52,7,0
2026-05-27 20:20:00,159.531,159.534,159.527,159.533,21,7,0
2026-05-27 20:25:00,159.533,159.533,159.513,159.518,44,7,0
2026-05-27 20:30:00,159.522,159.53,159.514,159.529,38,7,0
2026-05-27 20:35:00,159.529,159.53,159.515,159.522,52,7,0
2026-05-27 20:40:00,159.522,159.531,159.514,159.521,52,7,0
2026-05-27 20:45:00,159.521,159.531,159.454,159.455,65,7,0
2026-05-27 20:50:00,159.455,159.466,159.446,159.464,41,91,0
2026-05-27 20:55:00,159.464,159.465,159.436,159.436,48,91,0
2026-05-27 21:05:00,159.42,159.423,159.304,159.354,35,111,0
2026-05-27 21:10:00,159.368,159.4,159.332,159.376,45,111,0
2026-05-27 21:15:00,159.36,159.4,159.345,159.371,38,111,0
2026-05-27 21:20:00,159.35,159.402,159.341,159.363,25,111,0
2026-05-27 21:25:00,159.37,159.403,159.345,159.391,30,111,0
2026-05-27 21:30:00,159.352,159.394,159.352,159.394,19,111,0
2026-05-27 21:35:00,159.394,159.394,159.37,159.38,31,111,0
2026-05-27 21:40:00,159.38,159.381,159.379,159.38,9,111,0
2026-05-27 21:45:00,159.38,159.382,159.379,159.381,9,111,0
2026-05-27 21:50:00,159.381,159.386,159.353,159.379,44,102,0
2026-05-27 21:55:00,159.379,159.384,159.366,159.382,50,102,0
2026-05-27 22:00:00,159.477,159.503,159.471,159.485,85,7,0
2026-05-27 22:05:00,159.488,159.5,159.469,159.487,47,7,0
2026-05-27 22:10:00,159.487,159.505,159.482,159.488,63,7,0
2026-05-27 22:15:00,159.488,159.492,159.474,159.49,40,7,0
2026-05-27 22:20:00,159.49,159.49,159.468,159.476,45,7,0
2026-05-27 22:25:00,159.478,159.492,159.476,159.492,33,7,0
2026-05-27 22:30:00,159.492,159.505,159.489,159.504,40,7,0
2026-05-27 22:35:00,159.504,159.504,159.483,159.489,53,7,0
2026-05-27 22:40:00,159.489,159.499,159.473,159.499,44,7,0
2026-05-27 22:45:00,159.499,159.503,159.494,159.502,32,7,0
2026-05-27 22:50:00,159.502,159.508,159.499,159.507,37,7,0
2026-05-27 22:55:00,159.507,159.509,159.495,159.501,36,7,0
2026-05-27 23:00:00,159.501,159.503,159.498,159.502,22,7,0
