time,open,high,low,close,tick_volume,spread,real_volume
2026-05-27 14:40:00,1.16494,1.16499,1.16449,1.1648399999999999,324,6,0
2026-05-27 14:45:00,1.16485,1.16504,1.16438,1.16441,368,6,0
2026-05-27 14:50:00,1.1644,1.16448,1.1635,1.16368,485,6,0
2026-05-27 14:55:00,1.16364,1.16364,1.16247,1.16254,534,6,0
2026-05-27 15:00:00,1.16252,1.16326,1.16223,1.16306,443,6,0
2026-05-27 15:05:00,1.16305,1.16328,1.1630099999999999,1.16312,274,6,0
2026-05-27 15:10:00,1.16312,1.16336,1.16299,1.16329,226,6,0
2026-05-27 15:15:00,1.16331,1.16331,1.16308,1.16321,202,6,0
2026-05-27 15:20:00,1.16322,1.16343,1.16289,1.16318,263,6,0
2026-05-27 15:25:00,1.16317,1.16339,1.16313,1.16334,183,6,0
2026-05-27 15:30:00,1.16336,1.1636,1.16322,1.16355,276,6,0
2026-05-27 15:35:00,1.16352,1.16353,1.16321,1.16324,189,6,0
2026-05-27 15:40:00,1.1632500000000001,1.16336,1.16299,1.16306,225,6,0
2026-05-27 15:45:00,1.16307,1.16336,1.1627,1.16277,244,6,0
2026-05-27 15:50:00,1.16278,1.1629,1.16262,1.16281,215,6,0
2026-05-27 15:55:00,1.16283,1.16304,1.16269,1.16299,185,6,0
2026-05-27 16:00:00,1.1630099999999999,1.16302,1.16239,1.16266,304,6,0
2026-05-27 16:05:00,1.16266,1.16276,1.16246,1.16269,218,6,0
2026-05-27 16:10:00,1.16269,1.16297,1.16267,1.1629,138,6,0
2026-05-27 16:15:00,1.16289,1.16309,1.16289,1.16306,120,6,0
2026-05-27 16:20:00,1.16306,1.1632,1.16288,1.16288,153,6,0
2026-05-27 16:25:00,1.16288,1.16302,1.16278,1.16283,112,6,0
2026-05-27 16:30:00,1.16284,1.16296,1.16275,1.16293,139,6,0
2026-05-27 16:35:00,1.16293,1.16308,1.16292,1.16305,99,6,0
2026-05-27 16:40:00,1.16304,1.1632500000000001,1.16304,1.16309,112,6,0
2026-05-27 16:45:00,1.16309,1.16324,1.16307,1.16318,75,6,0
2026-05-27 16:50:00,1.16319,1.16321,1.16309,1.16313,90,6,0
2026-05-27 16:55:00,1.16313,1.1632500000000001,1.163,1.16321,119,6,0
2026-05-27 17:00:00,1.16323,1.16328,1.16295,1.16304,179,6,0
2026-05-27 17:05:00,1.16304,1.16311,1.16228,1.16243,244,6,0
2026-05-27 17:10:00,1.16242,1.16251,1.1623,1.1623,173,6,0
