timestamp,open,high,low,close,volume
1779902400000,1.3219,1.3228,1.3219,1.3228,5275.9891
1779902460000,1.3228,1.3244,1.3227,1.3244,12842.4852
1779902520000,1.3244,1.325,1.3238,1.3238,6200.8444
1779902580000,1.3238,1.3246,1.3238,1.3242,6941.935
1779902640000,1.3242,1.3249,1.3242,1.3249,1439.6506
1779902700000,1.3249,1.3249,1.3241,1.3248,5479.897
1779902760000,1.3248,1.3248,1.3235,1.3236,7345.374
1779902820000,1.3236,1.3236,1.3221,1.3224,16549.36
1779902880000,1.3224,1.3242,1.3224,1.3242,3011.9371
1779902940000,1.3242,1.3245,1.3242,1.3244,1675.1862
1779903000000,1.3244,1.3244,1.3234,1.3235,7320.6413
1779903060000,1.3235,1.3244,1.3235,1.324,10004.9345
1779903120000,1.324,1.324,1.3231,1.3231,2692.6986
1779903180000,1.3231,1.3245,1.3231,1.3244,8864.8559
1779903240000,1.3244,1.3247,1.3242,1.3247,3434.9441
1779903300000,1.3247,1.3247,1.3228,1.3235,7309.5753
1779903360000,1.3235,1.3238,1.3234,1.3238,10124.6817
1779903420000,1.3238,1.3244,1.3238,1.3244,6340.9067
1779903480000,1.3244,1.3253,1.3236,1.3253,17393.7696
1779903540000,1.3253,1.3255,1.3248,1.3248,11658.689
1779903600000,1.3248,1.3249,1.3236,1.3236,5162.1659
1779903660000,1.3236,1.3239,1.323,1.3234,5521.6582
1779903720000,1.3234,1.3234,1.3214,1.3216,3529.5171
1779903780000,1.3216,1.323,1.3216,1.3228,6167.3541
1779903840000,1.3228,1.3228,1.3218,1.3218,462.3227
1779903900000,1.3218,1.3224,1.3216,1.3221,8911.2643
1779903960000,1.3221,1.3228,1.3215,1.3228,7107.727
1779904020000,1.3228,1.3228,1.3217,1.3217,1097.2125
1779904080000,1.3217,1.3217,1.3211,1.3216,9181.3542
1779904140000,1.3216,1.3224,1.3216,1.3223,18570.464
1779904200000,1.3223,1.3223,1.3219,1.3221,5607.5035
1779904260000,1.3221,1.3226,1.3216,1.3226,16588.4455
1779904320000,1.3226,1.3233,1.3226,1.3229,5661.3208
1779904380000,1.3229,1.3229,1.3224,1.3224,3254.8042
1779904440000,1.3224,1.3224,1.3218,1.3218,5018.0473
1779904500000,1.3218,1.3221,1.3218,1.3219,6728.2062
1779904560000,1.3219,1.3221,1.3174,1.3198,103897.144
1779904620000,1.3198,1.3198,1.3181,1.3184,11907.9813
1779904680000,1.3184,1.321,1.3184,1.321,16041.3071
1779904740000,1.321,1.321,1.3205,1.3205,7844.0634
1779904800000,1.3205,1.3205,1.3189,1.32,36279.304
1779904860000,1.32,1.3209,1.3194,1.3205,7538.8118
1779904920000,1.3205,1.3218,1.3205,1.3211,29832.3282
1779904980000,1.3211,1.3218,1.3208,1.3217,3025.0837
1779905040000,1.3217,1.3217,1.3198,1.3201,5985.1339
1779905100000,1.3201,1.3201,1.3188,1.3197,7242.72
1779905160000,1.3197,1.3209,1.3197,1.3208,23977.4151
1779905220000,1.3208,1.3208,1.3202,1.3203,7529.476
1779905280000,1.3203,1.322,1.3203,1.3216,7046.4102
1779905340000,1.3216,1.3218,1.3195,1.3195,7139.8427
1779905400000,1.3195,1.3211,1.3194,1.321,5747.8523
1779905460000,1.321,1.321,1.32,1.3207,3742.3073
1779905520000,1.3207,1.3207,1.3195,1.3206,7353.9201
1779905580000,1.3206,1.3206,1.3178,1.3183,34667.6161
1779905640000,1.3183,1.3193,1.3177,1.319,8062.9466
1779905700000,1.319,1.3194,1.3185,1.3194,7264.523
1779905760000,1.3194,1.3209,1.3192,1.3196,16007.4327
1779905820000,1.3196,1.3207,1.3196,1.3207,5165.7793
1779905880000,1.3207,1.3218,1.3207,1.3213,9303.0308
1779905940000,1.3213,1.3219,1.3208,1.3215,4817.1812
1779906000000,1.3215,1.3215,1.3204,1.3204,1322.1956
1779906060000,1.3204,1.321,1.3199,1.321,6984.2171
1779906120000,1.321,1.3217,1.3207,1.3217,25092.2541
1779906180000,1.3217,1.3218,1.3212,1.3212,12512.638
1779906240000,1.3212,1.3213,1.3206,1.3211,2768.3634
1779906300000,1.3211,1.3212,1.3207,1.3209,6047.7636
1779906360000,1.3209,1.322,1.3209,1.3214,4493.6492
1779906420000,1.3214,1.3219,1.3214,1.3218,1319.441
1779906480000,1.3218,1.3218,1.3204,1.3209,4812.3842
1779906540000,1.3209,1.3217,1.3209,1.3217,1901.0061
1779906600000,1.3217,1.3217,1.3213,1.3213,3032.5876
1779906660000,1.3213,1.3215,1.3211,1.3213,2337.5727
1779906720000,1.3213,1.3217,1.321,1.3211,8170.649
1779906780000,1.3211,1.3214,1.3209,1.3214,3536.0591
1779906840000,1.3214,1.3214,1.3206,1.3214,4516.1459
1779906900000,1.3214,1.3215,1.3214,1.3215,676.0555
1779906960000,1.3215,1.3219,1.321,1.321,13795.4027
1779907020000,1.321,1.321,1.3205,1.3205,3743.065
1779907080000,1.3205,1.3215,1.3204,1.3215,2724.8392
1779907140000,1.3215,1.322,1.3213,1.3215,16788.1685
1779907200000,1.3215,1.3218,1.3215,1.3218,646.9444
1779907260000,1.3218,1.3234,1.3218,1.3226,47735.4009
1779907320000,1.3226,1.324,1.3226,1.324,4660.3417
1779907380000,1.324,1.324,1.3233,1.3234,11269.5511
1779907440000,1.3234,1.3234,1.3232,1.3232,236.282
1779907500000,1.3232,1.3242,1.3232,1.3241,3994.2944
1779907560000,1.3241,1.3247,1.3236,1.3238,6250.4709
1779907620000,1.3238,1.3243,1.3236,1.3243,1137.0327
1779907680000,1.3243,1.3246,1.3243,1.3246,15108.2402
1779907740000,1.3246,1.3246,1.3244,1.3245,1643.139
1779907800000,1.3245,1.3253,1.3245,1.3253,5464.9337
1779907860000,1.3253,1.3256,1.3245,1.3256,15584.0582
1779907920000,1.3256,1.3257,1.3254,1.3257,848.3252
1779907980000,1.3257,1.3262,1.3248,1.3249,5245.0984
1779908040000,1.3249,1.3254,1.3249,1.3251,3793.2447
1779908100000,1.3251,1.3263,1.3251,1.3263,4985.9816
1779908160000,1.3263,1.3266,1.3263,1.3264,5336.9142
1779908220000,1.3264,1.3266,1.3264,1.3265,1825.6979
1779908280000,1.3265,1.3273,1.3265,1.3268,3862.0622
1779908340000,1.3268,1.3268,1.3267,1.3268,3000.1654
1779908400000,1.3268,1.3278,1.3268,1.3273,7507.657
1779908460000,1.3273,1.3279,1.3273,1.3279,13427.5965
1779908520000,1.3279,1.3288,1.3278,1.3288,21444.8671
1779908580000,1.3288,1.3292,1.3286,1.3289,5540.9722
1779908640000,1.3289,1.3289,1.3288,1.3288,271.2408
